idiom,contents
군계일학,"월급만으로 부자가 될 수 있을까? 여성근로자가 남성과의 차별을 감수하고서라도 돈벌이를 제대로 할 수 있는 기간은 30세44세 정도까지, 딱 15년 내외다. [IDIOM]으로 여성 임원이 된다 해도 버틸 수 있는 기간은 40대 후반50대 초반까지다. 이들은 가수로 치자면 이효리요, 배우로."
군계일학,굴욕 면접에 대처하는 현명한 자세 '시장이 반찬이면 시련은 양념이다' 면접 복장이었다. 옷에서부터 악몽이 시작될 줄 몰랐다. 면접자가 하나 둘 모여들수록 얼굴이 달아올랐다. 순식간에 [IDIOM]이 됐다. 검정 정장 속 베이지색 날개를 움츠린 내가 있었다. '이런 된장!' 좌불안석이었다. 숨고 싶어 화장실만 들락날락.
백전백승,무와 비움 빼기의 법칙 '4차 산업시대의 생존코드' 글자 그대로 해석하면 모순처럼 보이지만 심오한 통찰이 담겨져 있다. [IDIOM] 비선지선자야 부전이굴인지병 선지선자야 백번 싸워서 백번 이기는 것이 최선은 아니다. 싸우지 않고도 적을 무너뜨리는.
백전백승,모든 이메일에 답장하라. 슬기로운 직장 생활 승진을 가능하게 하는 것은 무엇인가? 바로 평가 결과다. 그렇다면 평가 결과는 어떻게 정해지는 것인가? 지피지기 [IDIOM]이라는 말처럼 평가와의 싸움에서 승리하여 우리가 원하는 연봉 인상과 승진을 쟁취하기 위해서는 평가를 정확하게 이해해야.
백전백승,"소설쓰고 앉아있네 직장인 취미 가이드북 l 초급편 3 직장인이라면 하루에도 몇 가지의 보고서를 쓰고 수십 건의 메일을 쓰는데, 글을 쓰는 것이 왜 부끄러울까? 지피지기면 [IDIOM]이라 했다. 소설 쓰기가 왜 부끄러운지부터 살펴보자. 내가 글을 너무 못쓰는 것 같아서 유치하고 오글거려서 너무 어렵고."
백전백승,"해외여행을 떠나는 우리들의 자세 설레는 해외여행, 침착하게 대처하는 방법 여행을 할 수 있을지 스카이스캐너에서 소개한다. 1. 여행지, 얼마나 공부하고 가시나요? 여행지든 어디서든, '지피지기면 [IDIOM]'이라고 하였다. 여행하고자 하는 나라의 기본적인 정보를 많이 알수록 시행착오와 위험을 겪을 일이 적어진다. 그 나라에."
다다익선,"옷을 다섯 박스 기부했습니다. 생각보다 쉬운 비우기, 미니멀리즘 많아서 이 생에서 미니멀리즘은 불가능할 거라고 생각했는데 적은 옷으로도 이것저것 잘 매치해서 전보다 깔끔하게 입고 다닙니다. [IDIOM]은 옛말인 거죠. 동경만 했던 그들의 삶을 가까이에 들여놨더니 이렇게 좋아서 그렇게 좋다고 한 거였구나 새삼."
대기만성,"엄마 말, 아빠 말, 바깥 말, 3개 국어 옹알이 한국어, , English 만나보라고 엄마를 걱정시킨다. 동시에 다중언어 환경에서 자라는 아이들이 말이 늦다는 위로의 말도 듣는다. 그래, [IDIOM]이라 하지 않았는가? 하나도 힘든데 세 가지 언어를 담는 그릇을 빚어야 하니 시간이 더 걸리겠지 하고 엄마는 믿고 싶다."
백전백승,"근주자적 붉을 색을 가까이하면 붉어진다 있다. 나를 닮아가는 사람들은 누구인지, 내 옆에서 나와 어울리고 있는 사람은 어떤 사람인지. 나를 알고, 적을 알면 [IDIOM]이라는 말이 있다. 순간에 일어나는 감정을 알아야 한다. 상대가 어떤 기분을 느끼고 있는지도 알면 좋다. 더 깊은 관계를."
다다익선,"국립현대미술관 특별전 한국의 근대회화 보인다. 오랜만의 현대미술관 나들이여서 감회가 새로웠다. 홍지석의 답사의 맛에 나오는 경천사 10층 석탑과 백남준의 [IDIOM]을 비교해볼 목적으로 현대미술관을 찾은 이유도 있었지만, 근대회화 소장품전을 관람하는 것도 그에 못지않은 이유였다."
개과천선,강아지와 조깅할때 알아야할 8가지 멋지구리한 강아지 호프는 얼마 전 까지도 우리 나리와 똑같이 나는 내길을 가련다 스타일의 명뭉이였다. 그런데 저렇게. [IDIOM]? 하다니. 아 놀라워라. 오 부 러버라. 나는 호프가 가능하다면 우리 나리도 할 수 있지 않을까? 하는 질투 뿜 뿜.
군계일학,뭐 하나 잘 하는 것도 없고 그냥 내가 바뀌면 될 것을. 일을 쉬면서 내가 잘 할 수 있는 일이 뭘까? 고민을 하게 되었다. 직업이 있지만 일을 하면서도 [IDIOM]의 뛰어난 직원은 아니었음을 나는 잘 안다. 만약 복직을 하게 되더라도 이전과 같을 것이 뻔해 보이는데 과연 내가 이렇게 두각을 나타내지.
대기만성,[통찰스케치 021] 궁하면 변하고 변하면 통한다! 안병민의 [통찰을 스케치하다] 이란 말도 있다. 물은 고정된 모습이 없다. 상황에 따라 탄력적으로 융통성 있게 변화하는 모습이 중요하다. [IDIOM] 도 같은 맥락에서 해석할 수 있다. 큰 그릇은 늦게 완성된다. 이 모두 역발상에서 나오는 삶의 지혜이자.
대기만성,탁월하고 싶으면 탁월함의 미덕 뛰어난 소질을 갖고 있지 못하거나 아예 불리한 조건을 가진 사람들도 있다. 그들이 모두 실패하지는 않는다. 사람들은 [IDIOM]이라고 한다. 하지만 실제로 그들이 쏟은 땀은 별로 생각하지 못한다. 아무리 좋은 자질이 있어도 갈고닦지 않으면 녹슬기.
다다익선,[3장] 13 사랑은 양보다 질 3장. 주변인물의 도움 1 주변인의 조언 바라보면서 지극정성으로 대한다. 마치 마지막 사랑인 것처럼. 사랑 양 질 이성이 많은 것은 풍요속의 빈곤 [IDIOM] X 진심으로 아프고 힘들 때 의지할 유일한 사람X 화려한 만인의 연인 소중한 하나의 연인 제 아무리 이성이 주변이.
백전백승,"우리 아이가 디베이트를 경험하게 해주자 모범생 공부 잘하는 일반 학생이나 영어를 원어민 Native Speaker 수준으로 잘하는 리터니 Returnee 학생과 맞붙어도 [IDIOM]입니다. 뛰어난 논리를 펼치며 그 우수성을 드러냅니다. 아무리 공부를 잘하는 아이라 하더라도, 심지어 전교 1등을 하는 학생."
함흥차사,"의사 할아버지가 손주에게 가르치는 글쓰기6 6 꼬시기 작전 덜하기는 하겠지요. 그런데 이놈들에게 문자로, 카톡으로 과제 보냈으니 글쓰기 보내라고 하면 넵 하고 대답만 하고 [IDIOM]가 일쑤입니다. 그러면 제 속에서 또 갈등이 생겨 때려치우려고 하다가 이런 생각을 하게 됩니다. 아냐, 저들이 답이 있든."
개과천선,"미련 곰탱이 누군가에게 보내는 편지 한 장 때 주어지는 쉼 한 가닥이 제겐 행운처럼 느껴졌습니다. 무슨 실수를 저질러도 다 용서할 수 있을 것 같아서 때로는 내가 [IDIOM]이라도 했나 하고 고개를 갸웃 거려 보기도 하고요. 암튼 그저 모든 것이 다 좋고, 마냥 행복해서 이게 꿈이 아닌가 하고."
백전백승,"타깃 영업 글로벌 영업왕 11년간 수상자가 전하는 비법 5 그렇게 보이면 안 된다고 생각했다. 고객들보다 고객들의 회사를 잘 알고 있다는 느낌을 줬기 때문에, 내 이야기를 고객들은 신뢰했다. 적을 알고 나를 알면 [IDIOM]이라고 하지 않았던가. 준비에 시간이 많이 들더라도, 늘 많은 준비를 하고 영업에."
마부작침,나의 가치 찾기 마부위침 도끼를 갈아 바늘을 만들다는 뜻의 마부위침이라는 고사성어가 있습니다. [IDIOM]이라고도 합니다. 아무리 이루기 힘든 일이라도 끊임없이 노력하면 이룰 수 있다는 속뜻을 가지고 있죠. 시선으로 불리는 이백.
백전백승,주식회사 스페셜액터스 건강한 웃음과 휴머니즘이 가득 부모님이 운영하던 여관이 통째로 넘어가게 생겼다며 이를 막아달라는 간청이다. 일단 의뢰 접수. 적을 알고 나를 알면 [IDIOM]이다. 무스비루에 위장 잠입해 정보를 캐내기로 했다. 사이비 종교단체 무스비루는 무스비루 행성에 사는 신 가제우스의 계시.
다다익선,"가장 신비로운 건물을 묻는다면, 타지마할 인도 배낭여행기3 안 된다는 것이다. 인도는 무엇을 찍지 않을 것인가! 하는 마이너스 작업에 의해서만 그 사람의 고유한 시각이 드러난다. [IDIOM]과 플러스가 미덕인 사회에서 살다가 인도로 간 사람에게서는 찍지 않는 것도 표현의 자유라는 발상이 나오기가 결코."
수어지교,"아이폰6s 루머 혹은 풍문, 후면 하우징 유출 진짜일까 비에르쥬의 IT 칼럼 보여주고 있는 애플이 과연 이런 선택을 할지 의뭉스럽습니다. 이 루머가 무작정 거짓이라고만 볼 수 없는 애플에게 있어서 [IDIOM]의 관계에 있는 부품 제조업체 '폭스콘'의 소스라는 점 그리고 아이폰6가 용량에 따라서 MLC, TLC를 탑재하는 정책이."
군계일학,"이재한, 조들호, 김사부 2016년 우리에게 필요했던 진짜 어른들 자신에게 주어질 모든 불이익과 위험을 감수하고, 해야 할 일을 한다. 그래서 그들은 타락하고 잘못된 시스템 속에서 [IDIOM]이자 동시에 눈엣가시인 별종이 되었다. 그렇게 포기하지 않고 별종이 되어서 그들이 세상을 바꾸었는가. 아니다. 여전히."
다다익선,"[Lifeplus] ""퇴사하고 싶다!"" 내 퇴직금은? 퇴준생이라면 필독필독 대한 소멸시효는 3년인데요. 이 기간을 넘기지 않도록 주의하셔야 합니다. 퇴직자의 든든한 목돈이 되어주는 퇴직금, [IDIOM]의 기쁨을 누릴 수 있도록 꼼꼼하게 챙겨 보세요! 주 52시간 근무제가 시행 되면 내 퇴직금은? 한화생명 공식 블로그 Life n."
백전백승,회사에 헌신하다가 헌신짝 된다 이직은 배신이 아니다 중 5명에 불과하다. 당신은 과연 이 5명 중 하나가 될 수 있을까? 그들은 어떻게 임원이 되었을까?에선 적을 알아야 [IDIOM]할 수 있다면서 샐러리맨 기자 3명이 직장인들의 꿈인 임원에 대해 파고든다. 임원이 되면서 생기는 가장 큰 차이는.
백전백승,철도 인턴에 도전하다 노동요 철도 인생 시험 전에 미리 코레일 홈페이지에서 여러 정보를 살펴봐서 그런지 관련 문제가 나와도 쉽게 풀 수 있었다. 지피지기면 [IDIOM]. 현대 전투는 정보가 필수다. 시험을 마치고 학교를 나오니 중천에 있던 해는 점점 떨어지며 잠들 준비를 했고 붉은 노을이.
백전백승,내차판매시 남들보다 잘 팔기 위해 기억해야 할 사항은 수 있는 방법은 무엇인지 알아보는 시간 가져보도록 하겠습니다. 내 중고차 시세 파악은 기본! 적을 알고 나를 알면 [IDIOM]이라는 말처럼 자신의 중고차를 판매한다면 적어도 내 차가 얼마에 판매하고 있는지 대략적인 평균 시세를 알아볼 필요가.
개과천선,사랑하기도 바쁜데 김기훈의 아침에 쓰는 우표 한 장 생활 칼럼 물직적 풍요의 갑질이 아니라 더 가진 만큼 베풀고 사랑하는 진정한 의미를 찾고 상처 준 분들에게 사죄하는 마음을 [IDIOM]의 실천으로 보여주길 바란다. 아직도 귀를 막고 있을 그 어린아이가 너무 안타깝다. 팬티 바람에 쫓겨난 남편도 물컵을 던진 그.
함흥차사,"[미국 서부 여행] 12일차 워싱턴LA, 베니스 비치, 그리피스 천문대, 인앤아웃 나서니 진눈깨비가 내리고 있어서 캐리어를 끌기가 힘들었다. 5A 버스를 타기 위해 지하철을 탔는데 지하철 배차가 늦는지 [IDIOM]였다. 15분 정도 기다려 겨우 탔지만 몇 정류장 가다가 안 되겠다 싶어서 내려서 택시를 타기로 했다. 버스 시간까지 얼마."
독서망양,"[고사성어] 9월 2일[IDIOM] [IDIOM] 책을 읽느라 치던 양을 잃어버림 다른 일에 정신을 팔다가 중요한 일을 놓침 또는 원인이야 어떻든 잘못은 잘못이라는 뜻 독서하다 양을 잃어버린 장, 노름하다 양을 잃어버린 곡의 이야기 사소한 일에 빠져 중요한 것을 놓쳐 낭패를 당하는 경우 cf 다기망양 여러."
개과천선,인생을 '초기화' 해볼까? 인생 리셋 프로젝트 것. 가족은 서약도 있고 일종의 채무관계 같은 책임감도 있으니 초기값이다. 인생 리셋을 꿈꾸는 까닭은 여러가지다. 먼저 [IDIOM]의 심리가 있다. 나는 기질이 사납고 불순해 못된 짓을 몰래몰래 많이 하며 살아왔다. 순정한 생을 스스로 더럽힌 느낌.
다다익선,"귀사에도 상당히 도움될 거예요 당신이 창업하면 만나는 사람들 레퍼런스 확보 차원에서 제휴를 사용하는 것은, 초기 창업기업이 사용할 수 있는 좋은 전략 중에 하나이다. 하지만, 절대로 [IDIOM]이 아니라는 것을 말하고 싶다. 맞서 싸우던가 나를 낮추던가 아니면 무시하던가 실제로 우리가 성공했던 제휴는 전부."
대기만성,"미래의 철학 심성론을 통해본 주자의 격물치지 이해', [중국철학사상논구1]동양철학연구회 편, 여강출판사 4. 김용옥, [절차탁마[IDIOM]], 통나무 5. 김용옥, [철학강의], 통나무 6. 김용옥, '나의 양심선언에 대한 기철학적 시론', [동양학 어떻게 할 것인가."
군계일학,5. TiERIS티에리스 방배동 등잔 밑에 숨어있는 정통 애프터눈티 애프터눈티를 파는 재야고수가 있다. 티에리스 전경. 상반되는 느낌의 가게들 속에서 눈에 띈다. 망원동이 붐업되기 전 [IDIOM] 처럼 눈에띄는 가게의 모습이라 호기심이 당긴다. 달달한 케이크와 따듯한 홍차는 여행자의 피로를 풀어주는 대표 아이템.
백전백승,야너두! 영어는 언어일뿐! 주동주어동사 습관을 들이자 능력을 소유하고 있으니까 말이다. 그렇다면 어떻게 당신의 언어지능을 영어로도 발휘할 수 있도록 만들까? 지피지기면 [IDIOM]! 먼저 우리말의 특성에 대해서 이해해보자. 우리는 일상 속에서 어떤 말들을 잘 사용하는가? 우리가 일상 속에서 자주 쓰는.
다다익선,"[매거진 C] 옷 입기 더없이 좋은 계절입니다 옷을 좋아하고, 즐겨야 하는 이유 Vol.1 여러분의 옷장에는 몇 개의 넥타이가 걸려 있습니까. 사람마다 다르겠지만 매일 타이를 매야 하는 직장인의 경우에는 '[IDIOM]'이지 않을까 생각합니다. 저는 한때 20개가량을 갖고 있다가 최근에는 10개 내외의 넥타이를 보유하고 있습니다. Z."
