,idiom,title,contents



5,함흥차사,응급실에 들어가면 함흥차사?,"왜 응급실만 들어가면 함흥차사인지, 빨리 진행이 잘 될 줄 알고 응급실을 갔는데 이건 오히려 왜 더 걸리는지 답답하셨던 분들을 위해 응급실의 입원까지의 과정에 대해 간략히 적어보았다. 하지만 이는 일반적인 상황이며 정말 초응급한 상황에서는 모든 것이 정신없이 지나간다. 예를들면..."

9,함흥차사,220704 함흥차사,"""심부름 시킨다고 보냈더니 함흥차사야. 또 오락실로 샜나?"" 이런 느낌이죠. 함흥 가기 전 둘째아들이 얌전?하고 착하기만 한 것이 걱정되.. ""방원 놈이 제 형을 쫓을지도(쫓아낼 지도) 모르니 이건 내가 가지고 가자."" 왕의 상징인 임금 도장 옥새를 주지 않고 이곳까지 가져온 것이다. ""그 놈은 필시..."
10,함흥차사,"함흥차사 RTX 3090ti, 3월 말 드디어 출시?",(출처:엔비디아) 반도체 수급난과 암호화폐 채굴로 그래픽카드(GPU) 대란 후유증이 지속지고 있다. 공급이 부족한 마당에 채굴업자들의 사재기가 기승이다. 애가 타는 건 소비자다. 지포스 RTX 3000번대를 건너뛰겠다는 목소리까지 나오고 있다. 이 가운데 엔비디아 플래그십 RTX...
12,함흥차사,"한국어에 ""삼천포""와 ""함흥차사""가 있듯이, 영어에도 ""Timbuktu""와 ""Alamo"" 가 있다.","한국어에 지명을 이용한 표현이 있는데요, 예를 들면 어떤 일이나 대화가 엉뚱한 방향으로 진행될때 쓰는 ""잘 가다가 삼천포로 빠진다.""는 말이나, 소식이 감감한 경우에 쓰는 ""함흥차사""라는 말이 있지요. 그런데 영어에도 지명을 이용한 표현이 많아요. 오늘은 그중에 아프리카..."
23,함흥차사,함흥차사가 된 사신들,"함흥차사가 된 사신들 올해, 이 정부가 이룬 업적을 살펴보면, 검찰개혁의 기치(旗幟)아래 1월 2일에 법무부 장관에 임명된 ‘추00’씨를 제일전선의... 내 생각으로는 요즘에도 많이 쓰이는 말로서 ‘사라진 후 오래도록 연락(連絡)이 없는 사람’을 일컫는 말로 ‘함흥차사(咸興差使)’가 되겠다는..."
25,함흥차사,"178) 이제나저제나, 함흥차사와 함안차사","01) 이제나저제나, 함흥차사와 함안차사 (심부름 보냈더니... 함흥차사야!) 심부름을 간 사람이 소식이 아주 없거나 회답이 좀처럼 오지 않은 상황을 비유하여 함흥차사(咸興差使)라고 한다. 태조 이성계가 두 차례에 걸친 왕자의 난에 상심하여 왕위를 정종에게 물려주고 서울을 떠나 지금의 함흥..."
34,함흥차사,함흥차사가 된,자세로 하고 힘 빼는 것도 연습하니까 확실히 팔꿈치나 그런 관절에 무리가 덜 가더군요. 역시 운동은 전문가의 코치를 받고 바른 자세로 해야.. 대충 이 정도로 마무리하고 일상 카테고리와 여행 카테고리로 다시 찾아오겠어요.(이러다 4주차도 놓칠까봐 불안한 함흥차사 브로콜리) 바로 잘게요 안녕
