idiom,contents
환골탈태,인간관계도 술술 풀릴 수만 있다면 보고 싶은 친구 귀찮은 작업이 추가되었지만 예쁘게 완성되어가는 가방을 보니 만족스러웠다. 잘못 완성된 작품의 실이 새로운 실로 [IDIOM]하는 모습을 보니 문득 한 사람이 생각났다. 그녀와 나 사이도 종이실처럼 쫙 펴서 예전 같은 사이로 돌아갈 수 있다면 얼마나
철중쟁쟁,추천 무협 화산전생 17권 세트
백발백중,"낙방과 낙첨, 그래도 낙담하지 않을래 같은 날 들려온 면접 낙방과 임신 실패. 그래도 먹고 기도하고 사랑"
불철주야,블록체인 개발자는 어떤 일을 할까 [스플X코드스테이츠]
적반하장,"아래층에서 무슨 석고대죄를 받으려고 전화하는 것도 아니고 그저 ""미안하다"", ""주의하겠다"" 는 말 한 두마디 바라는 것인데, 그런 말 조차 못해서 오히려 [IDIOM]으로 분란을 일으키다니 이해가 안되는 족속들이다. 나와 남편의 성향은 강대강, 약대약이다. 우리가 전화했을때 그들이 말로만이라도"
이구동성,별내 [IDIOM]로스터리 루프탑카페 아이랑 가기 좋은 곳
적반하장,"대통령님, 누리과정 공약 잊으셨나요? 45 내년 총선에 나가기 위해 부총리 자리를 던진 두 분에 대해 대통령님은 진실한 사람이라고 말씀하시는 것 같더군요. [IDIOM]입니다 정부가 누리과정을 도입확대하고 생색을 낸 것을 감안하면, 누리과정이 시도교육청의 책임이라는 말은 시도교육청 입장"
개과천선,허성태 배우님의 [IDIOM]
조변석개,"[아시아뉴스통신, 2020.01.31.] 이명수 의원, ""임시거주시설 변경은 정부의 [IDIOM]"
백전백승,"대나무가 울창한 망사원의 담장을 걸어봤을까? 4 어쩌다가 강남수향, 쑤저우 박물관 생각되는 인물의 모습은 게릴라전에 능한 전략가로 보기에는 수긍이 안 갈 정도로 잘 생겼다. 14년 동안 태평천국 군이 [IDIOM]에 가까운 승리를 할 수 있었던 배경에는 명장이었던 충왕 이수성이 있었다. 태평천국의 난을 진압하기 위해 만든"
삼인성호,"혹시 주식 접나요? 저는 주식 접해요. 주식에서 매우 중요한 3요소 나는 3과 연관 있는 삶을 살았고 얼마 전에 3에 관련된 게 얼마나 있을지 궁금해져서 알아봤다. 사자성어부터 출발하자면 [IDIOM], 삼인구사가 있다. 그 외에 작심삼일, 삼권분립, 삼위일체 등의 말이 있다. 그리고 가볍게 생각해 봐도 3은 우리 삶에"
